MaSanPham,Thang,TonDauKy,Nhap,Xuat,HaoHut,TonCuoiKy
SP0024,2025-02,403.0,22.0,9.0,0.0,416.0
SP0025,2025-02,189.0,161.0,144.0,1.0,205.0
SP0026,2025-02,86000.0,18000.0,1000.0,0.0,103000.0
SP0027,2025-02,576.0,142.0,145.0,2.0,571.0
SP0028,2025-02,256.0,177.0,164.0,2.0,267.0
SP0029,2025-02,321.0,1.0,0.0,0.0,322.0
SP0030,2025-02,216.0,150.0,154.0,1.0,211.0
SP0031,2025-02,422.0,123.0,116.0,1.0,428.0
SP0032,2025-02,686.0,38.0,13.0,0.0,711.0
SP0033,2025-02,384.0,137.0,132.0,2.0,387.0
SP0034,2025-02,555.0,263.0,250.0,1.0,567.0
SP0035,2025-02,219.0,133.0,130.0,0.0,222.0
SP0036,2025-02,333.0,3.0,0.0,0.0,336.0
SP0037,2025-02,322.0,112.0,115.0,1.0,318.0
SP0038,2025-02,457.0,179.0,165.0,0.0,471.0
SP0039,2025-02,277.0,0.0,0.0,0.0,277.0
SP0040,2025-02,639000.0,43000.0,18000.0,1000.0,663000.0
SP0041,2025-02,237.0,193.0,172.0,0.0,258.0
SP0042,2025-02,344.0,255.0,217.0,2.0,380.0
SP0043,2025-02,567.0,127.0,113.0,0.0,581.0
SP0044,2025-02,490.0,105.0,108.0,0.0,487.0
SP0045,2025-02,241.0,220.0,195.0,1.0,265.0
SP0046,2025-02,184.0,128.0,114.0,1.0,197.0
SP0047,2025-02,327.0,202.0,210.0,2.0,317.0
SP0048,2025-02,0.3,0.27,0.25,0.0,0.32
SP0049,2025-02,129.0,10.0,0.0,0.0,139.0
SP0050,2025-02,187.0,1.0,0.0,0.0,188.0
SP0051,2025-02,404.0,33.0,15.0,0.0,422.0
SP0052,2025-02,349.0,244.0,218.0,1.0,374.0
SP0053,2025-02,442.0,259.0,238.0,2.0,461.0
SP0054,2025-02,508.0,31.0,13.0,1.0,525.0
SP0055,2025-02,508.0,45.0,14.0,1.0,538.0
SP0056,2025-02,413.0,248.0,228.0,2.0,431.0
SP0057,2025-02,256.0,0.0,0.0,0.0,256.0
SP0058,2025-02,485.0,53.0,30.0,0.0,508.0
SP0059,2025-02,401.0,8.0,1.0,0.0,408.0
SP0060,2025-02,490.0,31.0,12.0,0.0,509.0
SP0061,2025-02,531.0,249.0,250.0,2.0,528.0
SP0062,2025-02,433.0,148.0,126.0,2.0,453.0
SP0063,2025-02,464.0,1.0,0.0,0.0,465.0
SP0064,2025-02,368.0,46.0,26.0,0.0,388.0
SP0065,2025-02,484.0,180.0,155.0,1.0,508.0
SP0066,2025-02,305.0,206.0,204.0,0.0,307.0
SP0067,2025-02,224.0,274.0,258.0,1.0,239.0
SP0068,2025-02,553000.0,46000.0,25000.0,0.0,574000.0
SP0069,2025-02,255.0,0.0,0.0,0.0,255.0
SP0070,2025-02,193.0,106.0,94.0,1.0,204.0
SP0071,2025-02,631.0,277.0,271.0,1.0,636.0
SP0072,2025-02,431.0,230.0,211.0,1.0,449.0
SP0073,2025-02,244.0,18.0,2.0,0.0,260.0
SP0074,2025-02,0.53,0.03,0.01,0.0,0.55
SP0075,2025-02,418.0,55.0,22.0,1.0,450.0
SP0076,2025-02,160.0,225.0,196.0,3.0,186.0
SP0077,2025-02,248.0,204.0,174.0,3.0,275.0
SP0078,2025-02,520.0,172.0,163.0,2.0,527.0
SP0079,2025-02,396.0,149.0,148.0,1.0,396.0
SP0080,2025-02,452.0,42.0,21.0,1.0,472.0
SP0081,2025-02,566.0,21.0,7.0,0.0,580.0
SP0082,2025-02,222.0,4.0,0.0,0.0,226.0
SP0083,2025-02,350.0,3.0,0.0,0.0,353.0
SP0084,2025-02,360.0,277.0,253.0,3.0,381.0
SP0085,2025-02,224.0,42.0,22.0,0.0,244.0
SP0086,2025-02,558.0,8.0,0.0,0.0,566.0
SP0087,2025-02,515.0,38.0,13.0,1.0,539.0
SP0088,2025-02,385.0,210.0,184.0,1.0,410.0
SP0089,2025-02,339000.0,151000.0,129000.0,2000.0,359000.0
SP0090,2025-02,348.0,156.0,158.0,0.0,346.0
SP0091,2025-02,179.0,7.0,0.0,0.0,186.0
SP0092,2025-02,456.0,247.0,249.0,1.0,453.0
SP0093,2025-02,451.0,155.0,138.0,0.0,468.0
SP0094,2025-02,592.0,15.0,6.0,0.0,601.0
SP0095,2025-02,0.28,0.18,0.18,0.0,0.28
SP0096,2025-02,525.0,199.0,171.0,1.0,552.0
SP0097,2025-02,487.0,248.0,237.0,3.0,495.0
SP0098,2025-02,594.0,38.0,18.0,0.0,614.0
SP0099,2025-02,268.0,133.0,116.0,2.0,283.0
SP0100,2025-02,317.0,40.0,21.0,0.0,336.0
SP0101,2025-02,345.0,107.0,111.0,0.0,341.0
SP0102,2025-02,386.0,14.0,7.0,0.0,393.0
SP0103,2025-02,391.0,125.0,117.0,2.0,397.0
SP0104,2025-02,379.0,133.0,129.0,0.0,383.0
SP0105,2025-02,602.0,30.0,13.0,0.0,619.0
SP0106,2025-02,397.0,122.0,116.0,1.0,402.0
SP0107,2025-02,314.0,160.0,163.0,1.0,310.0
SP0108,2025-02,107.0,248.0,213.0,2.0,140.0
SP0109,2025-02,477.0,37.0,14.0,0.0,500.0
SP0110,2025-02,445.0,243.0,209.0,1.0,478.0
SP0111,2025-02,397.0,36.0,17.0,0.0,416.0
SP0112,2025-02,414.0,253.0,257.0,4.0,406.0
SP0113,2025-02,257.0,217.0,187.0,1.0,286.0
SP0114,2025-02,313.0,172.0,149.0,2.0,334.0
SP0115,2025-02,514.0,181.0,182.0,2.0,511.0
SP0116,2025-02,179.0,161.0,140.0,0.0,200.0
SP0117,2025-02,182.0,209.0,196.0,2.0,193.0
SP0118,2025-02,295.0,142.0,126.0,1.0,310.0
SP0119,2025-02,486.0,12.0,1.0,0.0,497.0
SP0120,2025-02,443.0,216.0,202.0,3.0,454.0
SP0121,2025-02,247.0,184.0,168.0,1.0,262.0
SP0122,2025-02,560.0,46.0,14.0,0.0,592.0
SP0123,2025-02,244.0,127.0,112.0,1.0,258.0
SP0124,2025-02,396.0,134.0,125.0,3.0,402.0
SP0125,2025-02,429.0,28.0,11.0,0.0,446.0
SP0126,2025-02,469000.0,8000.0,0.0,0.0,477000.0
SP0127,2025-02,509.0,136.0,126.0,1.0,518.0
SP0128,2025-02,216000.0,12000.0,1000.0,0.0,227000.0
SP0129,2025-02,524.0,176.0,184.0,1.0,515.0
SP0130,2025-02,487.0,122.0,115.0,2.0,492.0
SP0131,2025-02,249.0,202.0,171.0,1.0,279.0
SP0132,2025-02,126.0,3.0,0.0,0.0,129.0
SP0133,2025-02,214.0,261.0,257.0,2.0,216.0
SP0134,2025-02,189.0,202.0,179.0,2.0,210.0
SP0135,2025-02,519.0,128.0,115.0,1.0,531.0
SP0136,2025-02,259.0,248.0,255.0,1.0,251.0
SP0137,2025-02,280.0,123.0,126.0,0.0,277.0
SP0138,2025-02,281.0,248.0,255.0,1.0,273.0
SP0139,2025-02,184.0,208.0,202.0,4.0,186.0
SP0140,2025-02,236.0,142.0,139.0,2.0,237.0
SP0141,2025-02,389.0,196.0,197.0,2.0,386.0
SP0142,2025-02,512.0,171.0,158.0,0.0,525.0
SP0143,2025-02,526.0,132.0,117.0,2.0,539.0
,2025-02,250.0,142.0,130.0,1.0,261.0
SP0145,2025-02,271.0,16.0,9.0,0.0,278.0
SP0146,2025-02,264.0,192.0,177.0,1.0,278.0
SP0147,2025-02,400.0,48.0,17.0,1.0,430.0
SP0148,2025-02,592000.0,224000.0,229000.0,2000.0,585000.0
SP0149,2025-02,502.0,200.0,195.0,1.0,506.0
SP0150,2025-02,343.0,223.0,212.0,1.0,353.0
SP0151,2025-02,172000.0,267000.0,231000.0,2000.0,206000.0
SP0152,2025-02,228.0,278.0,263.0,3.0,240.0
SP0153,2025-02,332.0,174.0,178.0,1.0,327.0
,2025-02,221.0,153.0,142.0,1.0,231.0
SP0155,2025-02,425.0,165.0,148.0,1.0,441.0
SP0156,2025-02,548.0,133.0,131.0,1.0,549.0
SP0157,2025-02,376.0,143.0,129.0,2.0,388.0
SP0158,2025-02,388.0,261.0,237.0,3.0,409.0
SP0159,2025-02,303.0,270.0,258.0,1.0,314.0
SP0160,2025-02,724.0,27.0,11.0,0.0,740.0
SP0161,2025-02,331.0,200.0,188.0,1.0,342.0
SP0162,2025-02,313.0,19.0,7.0,0.0,325.0
SP0163,2025-02,122.0,127.0,110.0,1.0,138.0
SP0164,2025-02,229.0,221.0,224.0,0.0,226.0
SP0165,2025-02,0.49,0.04,0.02,0.0,0.51
SP0166,2025-02,176000.0,11000.0,0.0,0.0,187000.0
SP0167,2025-02,341.0,182.0,167.0,1.0,355.0
SP0168,2025-02,444.0,241.0,227.0,1.0,457.0
SP0169,2025-02,427.0,46.0,22.0,0.0,451.0
SP0170,2025-02,336.0,31.0,11.0,0.0,356.0
SP0171,2025-02,425.0,236.0,227.0,1.0,433.0
SP0172,2025-02,479.0,193.0,167.0,0.0,505.0
,2025-02,527.0,210.0,191.0,2.0,544.0
SP0174,2025-02,583.0,151.0,130.0,1.0,603.0
SP0175,2025-02,233.0,196.0,188.0,1.0,240.0
SP0176,2025-02,388000.0,147000.0,140000.0,1000.0,394000.0
SP0177,2025-02,478.0,247.0,255.0,2.0,468.0
SP0178,2025-02,537.0,24.0,10.0,0.0,551.0
SP0179,2025-02,403.0,169.0,144.0,1.0,427.0
SP0180,2025-02,473.0,272.0,251.0,0.0,494.0
SP0181,2025-02,592.0,55.0,32.0,0.0,615.0
SP0182,2025-02,381.0,51.0,22.0,1.0,409.0
SP0183,2025-02,536.0,231.0,204.0,3.0,560.0
SP0184,2025-02,133.0,262.0,269.0,4.0,122.0
SP0185,2025-02,175.0,173.0,157.0,0.0,191.0
SP9506,2025-02,195.0,253.0,238.0,1.0,209.0
SP0187,2025-02,92.0,261.0,230.0,3.0,120.0
SP0188,2025-02,119.0,175.0,180.0,3.0,111.0
SP0189,2025-02,526.0,173.0,168.0,1.0,530.0
SP0190,2025-02,281.0,116.0,113.0,1.0,283.0
SP0191,2025-02,601.0,260.0,229.0,1.0,631.0
SP0192,2025-02,224.0,267.0,244.0,1.0,246.0
SP0193,2025-02,579.0,139.0,133.0,1.0,584.0
SP0194,2025-02,271.0,172.0,170.0,2.0,271.0
SP0195,2025-02,74.0,105.0,106.0,1.0,72.0
SP0196,2025-02,688.0,14.0,8.0,0.0,694.0
SP0197,2025-02,615.0,260.0,249.0,0.0,626.0
SP0198,2025-02,535.0,21.0,7.0,0.0,549.0
SP0199,2025-02,597.0,46.0,20.0,1.0,622.0
SP0200,2025-02,317.0,254.0,242.0,0.0,329.0
SP0201,2025-02,172.0,263.0,233.0,1.0,201.0
SP0202,2025-02,543.0,184.0,169.0,1.0,557.0
SP0203,2025-02,201.0,171.0,175.0,1.0,196.0
SP0204,2025-02,420.0,35.0,17.0,0.0,438.0
SP0205,2025-02,204.0,221.0,191.0,0.0,234.0
SP0206,2025-02,356.0,116.0,115.0,1.0,356.0
SP0207,2025-02,490.0,190.0,192.0,2.0,486.0
SP0208,2025-02,251.0,124.0,118.0,1.0,256.0
SP0209,2025-02,383.0,214.0,194.0,3.0,400.0
SP0210,2025-02,106.0,210.0,185.0,1.0,130.0
SP0211,2025-02,273000.0,249000.0,248000.0,3000.0,271000.0
SP0212,2025-02,265.0,13.0,0.0,0.0,278.0
SP0213,2025-02,389.0,215.0,182.0,1.0,421.0
SP0214,2025-02,294.0,213.0,211.0,2.0,294.0
SP0215,2025-02,122.0,127.0,110.0,2.0,137.0
SP0216,2025-02,327.0,167.0,142.0,3.0,349.0
SP0217,2025-02,262.0,124.0,112.0,1.0,273.0
,2025-02,300.0,256.0,248.0,2.0,306.0
SP0219,2025-02,348.0,132.0,123.0,2.0,355.0
SP0220,2025-02,339.0,163.0,149.0,1.0,352.0
SP0001,2025-03,309.0,53.0,16.0,0.0,346.0
SP0002,2025-03,545.0,270.0,246.0,2.0,567.0
SP0003,2025-03,421.0,158.0,144.0,1.0,434.0
SP0004,2025-03,122.0,8.0,1.0,0.0,129.0
SP0005,2025-03,381.0,196.0,166.0,1.0,410.0
SP0006,2025-03,542000.0,281000.0,291000.0,0.0,532000.0
SP0007,2025-03,415.0,242.0,238.0,3.0,416.0
SP0008,2025-03,515.0,121.0,123.0,0.0,513.0
SP0009,2025-03,486.0,244.0,211.0,0.0,519.0
SP0010,2025-03,176.0,175.0,164.0,0.0,187.0
SP0011,2025-03,559.0,212.0,220.0,1.0,550.0
SP0012,2025-03,288.0,301.0,293.0,4.0,292.0
SP0013,2025-03,448.0,60.0,21.0,1.0,486.0
SP0014,2025-03,540.0,277.0,266.0,1.0,550.0
SP0015,2025-03,311.0,9.0,1.0,0.0,319.0
SP0016,2025-03,301.0,222.0,204.0,0.0,319.0
SP0017,2025-03,492.0,292.0,250.0,1.0,533.0
SP0018,2025-03,373.0,30.0,14.0,0.0,389.0
SP0019,2025-03,548.0,178.0,157.0,2.0,567.0
SP0020,2025-03,517.0,2.0,0.0,0.0,519.0
SP0021,2025-03,463.0,281.0,271.0,1.0,472.0
SP0022,2025-03,492.0,13.0,0.0,0.0,505.0
SP0023,2025-03,203.0,198.0,193.0,3.0,205.0
SP0024,2025-03,416.0,45.0,23.0,0.0,438.0
SP0025,2025-03,205.0,235.0,234.0,1.0,205.0
SP0026,2025-03,103.0,18.0,0.0,0.0,121.0
SP0027,2025-03,571.0,157.0,156.0,2.0,570.0
SP0028,2025-03,267.0,313.0,319.0,4.0,257.0
SP0029,2025-03,322.0,17.0,2.0,0.0,337.0
SP0030,2025-03,0.21,0.28,0.25,0.0,0.24
SP0031,2025-03,428.0,122.0,104.0,1.0,445.0
SP0032,2025-03,711000.0,21000.0,12000.0,0.0,720000.0
SP0033,2025-03,387.0,226.0,234.0,3.0,376.0
SP0034,2025-03,567.0,239.0,216.0,1.0,589.0
SP0035,2025-03,222.0,259.0,241.0,1.0,239.0
SP0036,2025-03,336000.0,5000.0,0.0,0.0,341000.0
SP0037,2025-03,318.0,310.0,265.0,3.0,360.0
SP0038,2025-03,471.0,213.0,217.0,0.0,467.0
SP0039,2025-03,277.0,9.0,1.0,0.0,285.0
SP0040,2025-03,663.0,33.0,15.0,0.0,681.0
SP0041,2025-03,258.0,230.0,199.0,1.0,288.0
SP0042,2025-03,380.0,195.0,196.0,2.0,377.0
SP0043,2025-03,0.58,0.22,0.21,0.0,0.6
,2025-03,487.0,304.0,295.0,1.0,495.0
SP9506,2025-03,265.0,233.0,199.0,2.0,297.0
SP0046,2025-03,197.0,196.0,185.0,2.0,206.0
SP0047,2025-03,317.0,303.0,308.0,2.0,310.0
SP0048,2025-03,320.0,181.0,172.0,2.0,327.0
SP0049,2025-03,139.0,0.0,0.0,0.0,139.0
SP0050,2025-03,188.0,4.0,0.0,0.0,192.0
SP0051,2025-03,422.0,34.0,11.0,1.0,444.0
SP0052,2025-03,374.0,242.0,205.0,2.0,409.0
,2025-03,461000.0,307000.0,280000.0,4000.0,484000.0
SP0054,2025-03,525.0,40.0,22.0,0.0,543.0
SP0055,2025-03,538.0,23.0,9.0,0.0,552.0
SP0056,2025-03,431.0,272.0,280.0,1.0,422.0
SP0057,2025-03,256.0,7.0,0.0,0.0,263.0
SP0058,2025-03,508.0,20.0,10.0,0.0,518.0
SP0059,2025-03,408.0,9.0,0.0,0.0,417.0
SP0060,2025-03,509.0,47.0,24.0,0.0,532.0
SP0061,2025-03,528.0,144.0,123.0,1.0,548.0
SP0062,2025-03,453.0,310.0,263.0,2.0,498.0
SP0063,2025-03,465.0,1.0,0.0,0.0,466.0
SP0064,2025-03,388.0,32.0,12.0,0.0,408.0
SP0065,2025-03,508.0,278.0,271.0,1.0,514.0
SP0066,2025-03,307.0,168.0,158.0,0.0,317.0
SP0067,2025-03,239.0,241.0,251.0,1.0,228.0
SP0068,2025-03,574.0,57.0,31.0,1.0,599.0
SP0069,2025-03,255.0,0.0,0.0,0.0,255.0
SP0070,2025-03,0.2,0.18,0.17,0.0,0.21
SP0071,2025-03,636.0,310.0,286.0,1.0,659.0
SP0072,2025-03,449.0,170.0,156.0,1.0,462.0
SP0073,2025-03,260.0,9.0,0.0,0.0,269.0
SP0074,2025-03,0.55,0.03,0.02,0.0,0.57
SP0075,2025-03,450.0,54.0,21.0,1.0,482.0
SP0076,2025-03,186.0,253.0,231.0,2.0,206.0
SP0077,2025-03,275.0,259.0,263.0,4.0,267.0
SP0078,2025-03,527.0,281.0,289.0,3.0,516.0
SP0079,2025-03,396.0,219.0,213.0,1.0,401.0
SP0080,2025-03,472.0,57.0,25.0,0.0,504.0
SP0081,2025-03,580.0,41.0,17.0,0.0,604.0
SP0082,2025-03,226.0,17.0,0.0,0.0,243.0
SP0083,2025-03,353.0,1.0,0.0,0.0,354.0
SP0084,2025-03,381.0,216.0,225.0,3.0,369.0
,2025-03,244.0,39.0,18.0,1.0,264.0
,2025-03,566.0,0.0,0.0,0.0,566.0
SP0087,2025-03,539.0,30.0,12.0,1.0,556.0
SP0088,2025-03,410.0,131.0,126.0,2.0,413.0
SP0089,2025-03,359.0,274.0,238.0,3.0,392.0
SP0090,2025-03,346.0,262.0,259.0,1.0,348.0
SP0091,2025-03,186.0,5.0,0.0,0.0,191.0
SP0092,2025-03,453.0,201.0,173.0,1.0,480.0
SP0093,2025-03,468.0,232.0,204.0,0.0,496.0
SP0094,2025-03,601.0,16.0,6.0,0.0,611.0
SP0095,2025-03,283.0,169.0,147.0,3.0,302.0
SP0096,2025-03,552.0,182.0,160.0,1.0,573.0
SP0097,2025-03,495.0,173.0,156.0,2.0,510.0
SP0098,2025-03,614.0,35.0,12.0,0.0,637.0
SP0099,2025-03,283.0,175.0,164.0,2.0,292.0
SP0100,2025-03,336.0,56.0,31.0,1.0,360.0
SP0101,2025-03,341.0,122.0,119.0,0.0,344.0
SP0102,2025-03,393.0,25.0,14.0,0.0,404.0
SP0103,2025-03,397.0,161.0,157.0,2.0,399.0
SP9507,2025-03,383.0,157.0,156.0,1.0,383.0
SP0105,2025-03,619.0,31.0,11.0,0.0,639.0
SP0106,2025-03,402.0,218.0,202.0,4.0,414.0
SP0107,2025-03,310.0,171.0,159.0,0.0,322.0
SP0108,2025-03,140.0,174.0,152.0,2.0,160.0
SP0109,2025-03,500.0,32.0,15.0,0.0,517.0
SP0110,2025-03,0.48,0.2,0.17,0.0,0.5
SP0111,2025-03,416.0,62.0,31.0,0.0,447.0
SP0112,2025-03,406.0,204.0,212.0,2.0,396.0
SP0113,2025-03,286.0,251.0,258.0,1.0,278.0
SP0114,2025-03,334.0,262.0,270.0,1.0,325.0
SP0115,2025-03,511.0,130.0,134.0,1.0,506.0
SP0116,2025-03,200.0,278.0,252.0,1.0,225.0
SP0117,2025-03,193.0,171.0,166.0,1.0,197.0
SP0118,2025-03,310.0,163.0,167.0,1.0,305.0
SP0119,2025-03,497.0,19.0,2.0,0.0,514.0
SP0120,2025-03,454.0,200.0,182.0,3.0,469.0
SP0121,2025-03,262.0,303.0,280.0,2.0,283.0
SP0122,2025-03,592.0,43.0,25.0,0.0,610.0
SP0123,2025-03,258.0,282.0,282.0,1.0,257.0
SP0124,2025-03,402.0,214.0,223.0,2.0,391.0
SP0125,2025-03,446.0,36.0,11.0,0.0,471.0
SP0126,2025-03,477.0,4.0,0.0,0.0,481.0
SP0127,2025-03,518.0,277.0,239.0,1.0,555.0
SP0128,2025-03,227.0,0.0,0.0,0.0,227.0
SP0129,2025-03,515.0,299.0,255.0,2.0,557.0
SP0130,2025-03,492.0,175.0,183.0,1.0,483.0
SP0131,2025-03,279.0,190.0,180.0,1.0,288.0
SP0132,2025-03,129.0,1.0,0.0,0.0,130.0
SP9509,2025-03,216.0,173.0,152.0,2.0,235.0
SP0134,2025-03,210.0,157.0,139.0,2.0,226.0
SP0135,2025-03,531.0,156.0,158.0,0.0,529.0
SP0136,2025-03,251.0,226.0,224.0,1.0,252.0
,2025-03,277.0,196.0,185.0,1.0,287.0
SP0138,2025-03,273.0,177.0,177.0,1.0,272.0
SP0139,2025-03,0.19,0.15,0.15,0.0,0.18
SP0140,2025-03,237.0,207.0,213.0,3.0,228.0
SP0141,2025-03,386.0,278.0,284.0,3.0,377.0
SP0142,2025-03,525.0,296.0,279.0,1.0,541.0
SP0143,2025-03,539.0,212.0,185.0,2.0,564.0
SP0144,2025-03,261.0,124.0,111.0,2.0,272.0
SP0145,2025-03,278.0,47.0,23.0,1.0,301.0
SP0146,2025-03,278.0,147.0,140.0,1.0,284.0
SP0147,2025-03,430.0,53.0,23.0,1.0,459.0
SP0148,2025-03,585.0,197.0,184.0,2.0,596.0
SP0149,2025-03,506000.0,189000.0,192000.0,0.0,503000.0
SP0150,2025-03,353.0,192.0,194.0,2.0,349.0
SP0151,2025-03,206.0,144.0,141.0,1.0,208.0
SP0152,2025-03,240.0,168.0,173.0,2.0,233.0
SP0153,2025-03,327.0,179.0,177.0,2.0,327.0
SP0154,2025-03,231.0,181.0,182.0,1.0,229.0
SP0155,2025-03,441.0,175.0,167.0,1.0,448.0
SP0156,2025-03,549.0,196.0,174.0,1.0,570.0
SP9501,2025-03,388.0,233.0,234.0,3.0,384.0
SP0158,2025-03,409.0,281.0,271.0,3.0,416.0
SP0159,2025-03,314.0,141.0,140.0,0.0,315.0
SP0160,2025-03,740.0,42.0,16.0,0.0,766.0
SP0161,2025-03,342.0,284.0,266.0,1.0,359.0
SP0162,2025-03,325.0,40.0,15.0,0.0,350.0
SP0163,2025-03,138.0,251.0,252.0,2.0,135.0
SP0164,2025-03,226.0,192.0,198.0,0.0,220.0
SP0165,2025-03,506.0,29.0,8.0,0.0,527.0
SP0166,2025-03,187.0,3.0,0.0,0.0,190.0
SP0167,2025-03,355.0,315.0,275.0,3.0,392.0
SP0168,2025-03,457.0,184.0,166.0,2.0,473.0
SP0169,2025-03,451.0,45.0,23.0,0.0,473.0
SP0170,2025-03,0.36,0.04,0.02,0.0,0.38
SP0171,2025-03,433.0,315.0,313.0,2.0,433.0
SP0172,2025-03,505.0,242.0,231.0,0.0,516.0
SP0173,2025-03,544.0,174.0,150.0,1.0,567.0
SP0174,2025-03,603.0,125.0,114.0,0.0,614.0
SP0175,2025-03,0.24,0.26,0.23,0.0,0.27
SP0176,2025-03,394.0,137.0,134.0,2.0,395.0
SP0177,2025-03,468.0,314.0,268.0,3.0,511.0
SP0178,2025-03,551.0,31.0,14.0,0.0,568.0
SP0179,2025-03,427.0,148.0,147.0,2.0,426.0
SP0180,2025-03,494.0,195.0,167.0,0.0,522.0
SP0181,2025-03,615.0,52.0,19.0,0.0,648.0
SP9506,2025-03,409.0,42.0,24.0,0.0,427.0
SP0183,2025-03,560.0,199.0,171.0,3.0,585.0
SP0184,2025-03,122.0,154.0,135.0,2.0,139.0
SP0185,2025-03,191.0,310.0,307.0,2.0,192.0
SP0186,2025-03,209.0,242.0,208.0,0.0,243.0
SP0187,2025-03,120.0,167.0,166.0,1.0,120.0
SP0188,2025-03,111000.0,237000.0,207000.0,4000.0,137000.0
SP0189,2025-03,530.0,234.0,208.0,1.0,555.0
SP0190,2025-03,283.0,286.0,275.0,1.0,293.0
SP0191,2025-03,631.0,244.0,243.0,2.0,630.0
SP0192,2025-03,246.0,270.0,244.0,0.0,272.0
SP0193,2025-03,0.58,0.29,0.29,0.0,0.58
SP0194,2025-03,271.0,250.0,245.0,2.0,274.0
SP0195,2025-03,72.0,229.0,213.0,2.0,86.0
SP0196,2025-03,694.0,32.0,13.0,1.0,712.0
SP0197,2025-03,626.0,129.0,129.0,1.0,625.0
SP0198,2025-03,549.0,27.0,14.0,0.0,562.0
SP0199,2025-03,622.0,21.0,11.0,0.0,632.0
SP0200,2025-03,329.0,212.0,196.0,1.0,344.0
SP0201,2025-03,201.0,273.0,259.0,0.0,215.0
SP0202,2025-03,557.0,230.0,227.0,1.0,559.0
SP0203,2025-03,196.0,284.0,296.0,1.0,183.0
SP0204,2025-03,438.0,25.0,13.0,0.0,450.0
SP0205,2025-03,234.0,190.0,182.0,1.0,241.0
SP0206,2025-03,356.0,212.0,194.0,1.0,373.0
SP0207,2025-03,486.0,145.0,127.0,0.0,504.0
SP0208,2025-03,256.0,298.0,278.0,5.0,271.0
SP0209,2025-03,400.0,124.0,115.0,1.0,408.0
SP0210,2025-03,130.0,271.0,273.0,1.0,127.0
SP0211,2025-03,271.0,140.0,128.0,2.0,281.0
SP0212,2025-03,0.28,0.0,0.0,0.0,0.28
SP0213,2025-03,421.0,123.0,113.0,0.0,431.0
SP0214,2025-03,294.0,301.0,298.0,3.0,294.0
SP0215,2025-03,137.0,288.0,282.0,5.0,138.0
SP0216,2025-03,349.0,184.0,172.0,1.0,360.0
SP0217,2025-03,273.0,276.0,267.0,2.0,280.0
SP0218,2025-03,306.0,123.0,106.0,0.0,323.0
SP0219,2025-03,355.0,242.0,220.0,3.0,374.0
SP0220,2025-03,352.0,200.0,180.0,1.0,371.0
SP0001,2025-04,346.0,36.0,20.0,0.0,362.0
SP0002,2025-04,567.0,248.0,241.0,1.0,573.0
SP0003,2025-04,434.0,183.0,177.0,1.0,439.0
SP0004,2025-04,129000.0,15000.0,0.0,0.0,144000.0
SP0005,2025-04,410.0,276.0,269.0,3.0,414.0
SP0006,2025-04,532.0,176.0,179.0,0.0,529.0
SP0007,2025-04,416.0,249.0,247.0,2.0,416.0
SP0008,2025-04,513.0,289.0,265.0,0.0,537.0
SP0009,2025-04,519.0,196.0,180.0,0.0,535.0
SP0010,2025-04,187.0,237.0,222.0,1.0,201.0
SP0011,2025-04,550.0,218.0,190.0,1.0,577.0
SP0012,2025-04,292.0,178.0,176.0,1.0,293.0
SP0013,2025-04,486.0,63.0,28.0,1.0,520.0
SP0014,2025-04,550.0,316.0,318.0,0.0,548.0
SP0015,2025-04,319.0,3.0,0.0,0.0,322.0
SP0016,2025-04,319.0,253.0,241.0,0.0,331.0
SP0017,2025-04,533.0,195.0,181.0,1.0,546.0
SP0018,2025-04,389.0,19.0,7.0,0.0,401.0
SP0019,2025-04,567.0,165.0,141.0,1.0,590.0
SP0020,2025-04,519.0,0.0,0.0,0.0,519.0
SP0021,2025-04,472.0,248.0,219.0,1.0,500.0
SP0022,2025-04,0.5,0.02,0.0,0.0,0.52
SP0023,2025-04,205.0,265.0,256.0,4.0,210.0
SP0024,2025-04,438000.0,39000.0,18000.0,0.0,459000.0
SP0025,2025-04,205.0,350.0,321.0,2.0,232.0
SP0026,2025-04,121.0,0.0,0.0,0.0,121.0
SP0027,2025-04,570.0,204.0,207.0,2.0,565.0
SP0028,2025-04,257.0,192.0,179.0,2.0,268.0
SP0029,2025-04,337.0,8.0,0.0,0.0,345.0
SP0030,2025-04,241.0,254.0,257.0,0.0,238.0
SP0031,2025-04,445.0,176.0,178.0,0.0,443.0
SP0032,2025-04,720.0,41.0,22.0,0.0,739.0
SP0033,2025-04,376.0,332.0,313.0,4.0,391.0
SP0034,2025-04,589.0,199.0,170.0,3.0,615.0
SP0035,2025-04,239.0,338.0,299.0,1.0,277.0
SP0036,2025-04,341.0,17.0,1.0,0.0,357.0
SP0037,2025-04,360.0,171.0,155.0,1.0,375.0
SP0038,2025-04,467000.0,331000.0,347000.0,1000.0,450000.0
SP0039,2025-04,285.0,0.0,0.0,0.0,285.0
SP0040,2025-04,681.0,30.0,11.0,1.0,699.0
SP0041,2025-04,288.0,167.0,167.0,0.0,288.0
SP0042,2025-04,377.0,300.0,263.0,5.0,409.0
SP0043,2025-04,595.0,359.0,360.0,1.0,593.0
SP0044,2025-04,495.0,311.0,289.0,1.0,516.0
SP0045,2025-04,297.0,190.0,199.0,2.0,286.0
SP0046,2025-04,206.0,235.0,225.0,2.0,214.0
