Thang,Vung,MaNhanVien,ChiTieuDoanhThu
2026-04,Miền Bắc,NV-13,1389289000.0
2026-04,Miền Bắc,NV-15,1841100000.0
2026-04,Miền Bắc,NV-17,1927508000.0
2026-04,Miền Bắc,NV96,1714430000.0
2026-04,Miền Bắc,NV-20,1314698000.0
2026-04,Miền Bắc,NV-22,1704892000.0
2026-04,Miền Bắc,NV30,1666889000.0
2026-04,Miền Nam,NV-01,1622063000.0
2026-04,Miền Nam,NV-02,1422190000.0
2026-04,Miền Nam,NV-09,1858088000.0
2026-04,Miền Nam,NV96,2429530000.0
2026-04,Miền Nam,NV-14,1639682000.0
2026-04,Miền Nam,NV-23,1488634000.0
2026-04,Miền Nam,NV-25,1361332000.0
2026-04,M.Nam,NV-26,1764776000.0
04/2026,Miền Nam,NV27,2748168000.0
2026-04,Miền Nam,NV28,2044914000.0
2026-04,HCM,NV-29,1635534000.0
2026-04,Central,NV03,1890283000.0
2026-04,MT,NV-04,3082164000.0
2026-04,Miền Trung,NV-05,2247665000.0
2026-04,Trung,NV-06,2480971000.0
2026-04,Miền Trung,NV-07,2496398000.0
2026-04,Miền Trung,NV-11,2691733000.0
2026-04,Miền Trung,NV-16,2109890000.0
Tháng 04/2026,Trung,NV-18,2394010000.0
2026-04,Miền Trung,NV21,1888922000.0
04/2026,Miền Trung,NV-24,2537751000.0
05/2026,Miền Bắc,NV-08,2522469000.0
2026-05,Bắc,NV-10,
May-26,MB,NV-13,1837955000.0
05/2026,Bắc,NV-15,2184573000.0
2026-05,Miền Bắc,NV-17,2308876000.0
2026-05,North,NV19,2084110000.0
May-26,M.Bắc,NV-20,1641218000.0
2026-05,Miền Bắc,NV-22,2067022000.0
2026-05,Miền Bắc,NV-30,1954578000.0
05/2026,MN,NV-01,2260490000.0
2026-05,South,NV-02,1914217000.0
May-26,Miền Nam,NV-09,2313870000.0
Tháng 05/2026,South,NV-12,3243809000.0
2026-05,MN,NV14,1995541000.0
2026-05,Miền Nam,NV23,2083594000.0
2026-05,M.Nam,NV-25,1833476000.0
2026-05,Miền Nam,NV-26,2288318000.0
2026-05,Miền Nam,NV-27,3609832000.0
2026-05,SG,NV-28,2650544000.0
2026-05,Miền Nam,NV-29,2117725000.0
2026-05,Miền Trung,NV-03,2742666000.0
2026-05,M.Trung,NV-04,4140516000.0
2026-05,Miền Trung,NV-05,3219044000.0
2026-05,Miền Trung,NV-06,3348161000.0
2026-05,Central,NV-07,3555958000.0
Tháng 05/2026,Central,NV-11,3546097000.0
2026-05,Miền Trung,NV95,2855582000.0
05/2026,Miền Trung,NV-18,3160619000.0
2026-05,M.Trung,NV-21,2427901000.0
05/2026,Trung,NV-24,3366311000.0
2026-06,Miền Bắc,NV-08,2775042000.0
2026-06,North,NV-10,2555165000.0
2026-06,Miền Bắc,NV-13,
2026-06,Miền Bắc,NV-15,2452046000.0
2026-06,Miền Bắc,NV-17,
2026-06,MB,NV-19,2250441000.0
2026-06,Miền Bắc,NV-20,1739626000.0
2026-06,Miền Bắc,NV-22,2272094000.0
2026-06,Bắc,NV-30,2117734000.0
2026-06,Miền Nam,NV-01,1793276000.0
06/2026,Miền Nam,NV-02,1505321000.0
2026-06,Miền Nam,NV-09,1874139000.0
2026-06,Miền Nam,NV-12,2517436000.0
2026-06,Miền Nam,NV-14,1739123000.0
2026-06,HCM,NV-23,1714727000.0
2026-06,Miền Nam,NV-25,1412662000.0
2026-06,Miền Nam,NV-26,1748476000.0
2026-06,Miền Nam,NV-27,2890539000.0
2026-06,Miền Nam,NV28,2170828000.0
Jun-26,MN,NV-29,1898477000.0
2026-06,Miền Trung,NV-03,2898400000.0
2026-06,Miền Trung,NV-04,4906782000.0
06/2026,Miền Trung,NV-05,3378273000.0
2026-06,Miền Trung,NV-06,3963837000.0
2026-06,Miền Trung,NV07,3960235000.0
2026-06,M.Trung,NV-11,4247879000.0
2026-06,Miền Trung,NV-16,3294011000.0
2026-06,Miền Trung,NV18,3596686000.0
2026-06,Miền Trung,NV-21,2736654000.0
2026-06,Miền Trung,NV-24,3651861000.0
2026-07,Miền Bắc,NV-08,3067541000.0
07/2026,Miền Bắc,NV-10,2929958000.0
2026-07,M.Bắc,NV-13,2081900000.0
2026-07,Miền Bắc,NV-15,2715959000.0
2026-07,MB,NV-17,2929225000.0
Jul-26,M.Bắc,NV19,2539054000.0
2026-07,Miền Bắc,NV-20,2032700000.0
2026-07,M.Bắc,NV-22,2477133000.0
2026-07,Miền Bắc,NV-30,2410310000.0
2026-07,HCM,NV-01,1994365000.0
Tháng 07/2026,Miền Nam,NV-02,1666957000.0
2026-07,Miền Nam,NV09,2191986000.0
2026-07,SG,NV90,2882221000.0
2026-07,Miền Nam,NV-14,2042898000.0
2026-07,Miền Nam,NV-23,1877362000.0
2026-07,Miền Nam,NV-25,1716203000.0
2026-07,SG,NV-26,2156129000.0
2026-07,Miền Nam,NV-27,3295156000.0
2026-07,Miền Nam,NV-28,2489709000.0
2026-07,Miền Nam,NV90,1981096000.0
2026-07,Central,NV03,2518174000.0
2026-07,Miền Trung,NV-04,3986286000.0
2026-07,MT,NV05,2883153000.0
2026-07,Miền Trung,NV-06,3398839000.0
2026-07,Miền Trung,NV-07,3297043000.0
2026-07,Central,NV-11,3525994000.0
Jul-26,Miền Trung,NV16,2880947000.0
2026-07,M.Trung,NV18,3025796000.0
2026-07,Miền Trung,NV-21,2303537000.0
Jul-26,Central,NV-24,3025045000.0
