MaChiTiet,MaDonHang,MaSanPham,SoLuong,GiaBanThucTe,ChietKhau
CT0008577,DH011947,SP0010,220,1008000.0,0.0
CT0008578,DH011947,SP0040,284,258000.0,0.15
CT0008579,DH011947,SP0027,329,93000.0,0.15
CT0008580,DH011421,SP0100,9,289000.0,0.0
CT0008581,DH011421,SP0007,5,262000.0,0.0
CT0008582,DH008466,SP0149,155,1103200.0,0.1
CT0008583,DH008466,SP0055,109,258300.0,0.05
CT0008584,DH008466,SP0006,175,1079900.0,0.0
CT0008585,DH008466,SP0159,174,681200.0,0.15
CT0008586,DH008466,SP0109,158,970700.0,0.05
CT0008587,DH008466,SP0106,223,218200.0,0.0
CT0008588,DH008466,SP0112,334,171300.0,0.15
CT0008589,DH008466,SP0051,266,299300.0,0.0
CT0008590,DH006413,SP0092,5,41000.0,0.0
CT0008591,DH006413,SP0087,9,231000.0,0.0
CT0008592,DH000067,SP0050,300,786000.0,0.0
CT0008593,DH000067,SP0021,68,46000.0,0.15
CT0008594,DH000067,SP0154,89,31000.0,0.15
CT0008595,DH000067,SP0161,86,127000.0,0.15
CT0008596,DH006086,SP0143,2,174000.0,0.0
CT0008597,DH009053,SP0011,56,39500.0,0.0
CT0008598,DH009053,,292,44500.0,0.05
CT0008599,DH009053,SP0139,323,201500.0,0.05
CT0008600,DH009053,SP0126,338,117100.0,0.1
CT0008601,DH009053,SP0121,254,193600.0,0.1
CT0008602,DH009053,SP0049,92,208700.0,0.1
CT0008603,DH009053,SP0187,282,289400.0,0.05
CT0008604,DH009053,SP0141,258,90000.0,0.05
CT0008605,DH005166,SP0178,9,264000.0,0.05
CT0008606,DH010299,SP0131,9,38000.0,0.0
CT0008607,DH010299,SP0170,5,294000.0,0.0
CT0008608,DH001901,SP0111,202,45100.0,0.1
CT0008609,DH001901,,104,52500.0,0.0
CT0008610,DH001901,SP0009,336,475300.0,0.1
CT0008611,DH008229,SP0170,115,328500.0,0.0
CT0008612,DH008229,SP0047,277,173500.0,0.15
CT0008613,DH008229,SP0126,82,96300.0,0.0
CT0008614,DH006774,SP0014,130,763000.0,0.0
CT0008615,DH006774,SP0093,175,1218000.0,0.1
CT0008616,DH006774,SP0079,182,27000.0,0.1
CT0008617,DH006774,SP0052,183,37000.0,0.0
CT0008618,DH006774,SP0153,215,212000.0,0.15
CT0008619,DH004024,SP0132,157,493000.0,0.0
CT0008620,DH004024,SP0073,363,135000.0,0.05
CT0008621,DH004024,,119,216000.0,0.0
CT0008622,DH004024,SP0152,316,231000.0,0.1
CT0008623,DH000989,SP0024,8,104000.0,0.0
CT0008624,DH008898,SP0095,138,117000.0,0.0
CT0008625,DH008898,SP0134,331,197000.0,0.0
CT0008626,DH008898,SP0073,80,135000.0,0.0
CT0008627,DH008898,SP0147,65,93000.0,0.0
CT0008628,DH008898,SP0106,382,265000.0,0.15
CT0008629,DH008898,SP0040,277,258000.0,0.0
CT0008630,DH008898,SP0005,184,274000.0,0.15
CT0008631,DH008898,SP0010,224,1008000.0,0.05
CT0008632,DH000181,SP0217,2,291000.0,0.05
CT0008633,DH010780,SP0130,8,331000.0,0.0
CT0008634,DH007478,SP0094,8,187000.0,0.0
CT0008635,DH007478,,9,59000.0,0.0
CT0008636,DH007478,SP0013,10,136000.0,0.15
CT0008637,DH001679,SP0024,4,104000.0,0.05
CT0008638,DH001679,SP0078,9,213000.0,0.0
CT0008639,DH008812,SP0079,7,27000.0,0.05
CT0008640,DH008812,SP0059,10,782000.0,0.15
CT0008641,DH002913,SP0212,7,306000.0,0.15
CT0008642,DH003362,SP0023,339,195400.0,0.05
CT0008643,DH003362,SP0005,348,208200.0,0.0
CT0008644,DH003362,SP0129,260,223000.0,0.0
CT0008645,DH003362,SP0011,101,29800.0,0.0
CT0008646,DH003362,SP0014,262,618100.0,0.1
CT0008647,DH003362,SP0162,215,185400.0,0.0
CT0008648,DH003362,SP0046,266,35700.0,0.1
CT0008649,DH003362,SP0165,201,32500.0,0.0
CT0008650,DH005542,SP0069,8,82000.0,0.0
CT0008651,DH005542,SP0036,10,274000.0,0.0
CT0008652,DH006593,SP0055,11,297000.0,0.1
CT0008653,DH006593,SP0024,2,104000.0,0.0
CT0008654,DH006593,SP0114,8,109000.0,0.0
CT0008655,DH002308,SP0045,9,232000.0,0.0
CT0008656,DH002308,SP0092,7,41000.0,0.0
CT0008657,DH006894,SP0128,5,263000.0,0.0
CT0008658,DH010982,SP0218,256,146500.0,0.0
CT0008659,DH010982,SP0079,208,27600.0,0.0
CT0008660,DH010982,SP0140,70,330700.0,0.0
CT0008661,DH010982,SP0142,343,470900.0,0.0
CT0008662,DH006112,SP0065,82,930000.0,0.0
CT0008663,DH006112,SP0046,165,34000.0,0.05
CT0008664,DH006112,SP0006,175,1160000.0,0.0
CT0008665,DH006112,SP0203,179,1183000.0,0.05
CT0008666,DH007517,SP0096,299,54000.0,0.05
CT0008667,DH007517,SP0172,227,803000.0,0.05
CT0008668,DH007517,SP0150,169,228000.0,0.0
CT0008669,DH007517,SP9004,105,117000.0,0.0
CT0008670,DH009872,SP0188,127,191000.0,0.0
CT0008671,DH009872,SP0129,216,269000.0,0.15
CT0008672,DH009872,SP0080,118,203000.0,0.05
CT0008673,DH009872,SP0074,137,1255000.0,0.15
CT0008674,DH011775,SP0020,86,125000.0,0.15
CT0008675,DH011775,SP0182,323,150000.0,0.0
CT0008676,DH011775,SP0160,338,91000.0,0.05
CT0008677,DH011775,SP0066,230,572000.0,0.15
CT0008678,DH009716,SP0218,5,193000.0,0.05
CT0008679,DH009716,SP0172,10,803000.0,0.0
CT0008680,DH009716,SP0023,9,215000.0,0.0
CT0008681,DH005053,SP0107,12,342600.0,0.15
CT0008682,DH005053,SP0135,11,928300.0,0.15
CT0008683,DH005053,SP0076,12,103200.0,0.1
CT0008684,DH009311,SP0020,111,125000.0,0.05
CT0008685,DH009311,SP0163,344,207000.0,0.1
CT0008686,DH009311,,173,258000.0,0.0
CT0008687,DH009311,SP0099,160,254000.0,0.0
CT0008688,DH009311,SP9004,269,251000.0,0.0
CT0008689,DH009311,SP0177,68,289000.0,0.1
CT0008690,DH009311,SP0136,203,1019000.0,0.0
CT0008691,DH009311,SP0208,369,145000.0,0.0
CT0008692,DH010018,SP0012,14,210000.0,0.1
CT0008693,DH000723,SP0012,12,210000.0,0.0
CT0008694,DH000723,SP0057,7,306000.0,0.0
CT0008695,DH000556,SP0140,4,329200.0,0.05
CT0008696,DH000556,SP9008,1,1087700.0,0.0
CT0008697,DH000556,SP0192,12,647700.0,0.05
CT0008698,DH005063,SP0171,5,26000.0,0.0
CT0008699,DH005063,SP0060,7,26000.0,0.0
CT0008700,DH005063,SP9006,6,719000.0,0.05
CT0008701,DH001402,SP0124,184,96000.0,0.1
CT0008702,DH001402,SP0066,97,572000.0,0.0
CT0008703,DH001402,SP0146,101,134000.0,0.0
CT0008704,DH001402,SP0111,53,52000.0,0.0
CT0008705,DH001402,SP0218,365,193000.0,0.0
CT0008706,DH000377,SP0215,405,112000.0,0.15
CT0008707,DH000377,SP0043,222,252000.0,0.0
CT0008708,DH000377,SP0185,139,25000.0,0.1
CT0008709,DH000377,SP0019,175,197000.0,0.1
CT0008710,DH009940,SP0019,230,197000.0,0.05
CT0008711,DH009940,SP0042,200,226000.0,0.0
CT0008712,DH009940,SP0051,243,333000.0,0.15
CT0008713,DH009940,SP0109,229,1045000.0,0.0
CT0008714,DH009940,SP0205,131,488000.0,0.0
CT0008715,DH009940,SP0187,138,258000.0,0.0
CT0008716,DH009940,SP0144,94,231000.0,0.0
CT0008717,DH008218,SP0169,12,799300.0,0.0
CT0008718,DH003336,SP0043,148,252000.0,0.0
CT0008719,DH003336,SP0045,206,232000.0,0.0
CT0008720,DH003336,SP0083,103,60000.0,0.0
CT0008721,DH003336,SP0185,170,25000.0,0.05
CT0008722,DH003336,SP0068,189,48000.0,0.15
CT0008723,DH003336,SP0148,76,47000.0,0.0
CT0008724,DH003336,SP0175,259,26000.0,0.0
CT0008725,DH003336,SP0204,292,1413000.0,0.15
CT0008726,DH011757,SP0213,3,31000.0,0.0
CT0008727,DH010885,SP0014,90,763000.0,0.0
CT0008728,DH010885,SP0218,88,193000.0,0.0
CT0008729,DH010885,SP0124,130,96000.0,0.0
CT0008730,DH010885,SP0049,202,237000.0,0.0
CT0008731,DH010885,SP0015,219,119000.0,0.0
CT0008732,DH010885,SP0131,231,38000.0,0.0
CT0008733,DH000340,SP0071,292,900000.0,0.15
CT0008734,DH000340,SP0213,99,31000.0,0.0
CT0008735,DH000340,SP0195,90,282000.0,0.05
CT0008736,DH000340,SP0096,136,54000.0,0.15
CT0008737,DH000340,SP0167,117,38000.0,0.1
CT0008738,DH000340,SP0032,224,243000.0,0.05
CT0008739,DH000340,SP0114,180,109000.0,0.05
CT0008740,DH000340,SP0060,185,26000.0,0.0
CT0008741,DH001354,SP0189,360,164000.0,0.0
CT0008742,DH001354,SP0145,182,189000.0,0.15
CT0008743,DH001354,SP0019,278,197000.0,0.0
CT0008744,DH001354,SP0108,315,172000.0,0.05
CT0008745,DH001354,SP0101,104,375000.0,0.1
CT0008746,DH011711,SP0065,76,930000.0,0.0
CT0008747,DH011711,SP0040,232,258000.0,0.0
CT0008748,DH011711,SP0020,171,125000.0,0.05
CT0008749,DH011711,SP0197,340,943000.0,0.0
CT0008750,DH011711,SP0056,275,56000.0,0.0
CT0008751,DH011711,SP0112,322,189000.0,0.15
CT0008752,DH001634,SP0156,6,138000.0,0.0
CT0008753,DH003989,SP0026,12,118000.0,0.05
CT0008754,DH003060,SP0207,7,26000.0,0.0
CT0008755,DH003060,SP0082,6,1015000.0,0.0
CT0008756,DH003060,SP0021,9,46000.0,0.15
CT0008757,DH000939,SP0201,7,967000.0,0.0
CT0008758,DH011846,SP0008,11,1620000.0,0.0
CT0008759,DH008684,SP0058,204,44900.0,0.0
CT0008760,DH008684,SP0133,308,219000.0,0.0
CT0008761,DH008684,SP0189,68,149000.0,0.05
CT0008762,DH008684,SP0207,244,27600.0,0.1
CT0008763,DH008684,SP0206,151,49500.0,0.15
CT0008764,DH008684,SP0004,96,230000.0,0.15
CT0008765,DH008684,SP0171,207,21100.0,0.1
CT0008766,DH008684,SP0170,80,334500.0,0.15
CT0008767,DH006906,SP0119,12,285000.0,0.05
CT0008768,DH006906,SP0152,8,231000.0,0.15
CT0008769,DH006906,SP0139,14,257000.0,0.15
CT0008770,DH008366,SP0058,2,33800.0,0.0
CT0008771,DH010490,SP0128,11,263000.0,0.05
CT0008772,DH010490,SP0006,11,1160000.0,0.15
CT0008773,DH010490,SP0217,2,291000.0,0.0
CT0008774,DH011040,SP0067,266,15000.0,0.05
CT0008775,DH011040,SP0178,90,264000.0,0.05
CT0008776,DH011040,SP0150,371,228000.0,0.0
CT0008777,DH011040,SP0175,160,26000.0,0.05
CT0008778,DH011040,SP0031,62,52000.0,0.15
CT0008779,DH011040,SP0109,236,1045000.0,0.1
CT0008780,DH006643,SP0111,9,52000.0,0.1
CT0008781,DH006643,SP0127,6,37000.0,0.0
CT0008782,DH011115,SP0109,1,1045000.0,0.0
CT0008783,DH011115,SP0141,12,103000.0,0.0
CT0008784,DH011115,SP0046,3,34000.0,0.15
CT0008785,DH009200,SP0094,7,187000.0,0.0
CT0008786,DH009200,SP0120,2,174000.0,0.0
CT0008787,DH009200,SP0157,7,340000.0,0.15
CT0008788,DH010526,SP0171,152,20900.0,0.1
CT0008789,DH010526,SP0095,338,119500.0,0.1
CT0008790,DH010526,SP0005,240,222200.0,0.0
CT0008791,DH001873,SP0028,11,185300.0,0.1
CT0008792,DH005950,SP0024,10,104000.0,0.1
CT0008793,DH005950,SP0021,8,46000.0,0.0
CT0008794,DH005950,SP9009,6,138000.0,0.1
CT0008795,DH000897,SP0144,99,231000.0,0.15
CT0008796,DH000897,SP0199,154,165000.0,0.1
CT0008797,DH000897,SP0083,279,60000.0,0.05
CT0008798,DH001443,SP0116,10,714000.0,0.15
CT0008799,DH001443,,2,54000.0,0.15
CT0008800,DH001605,SP0147,6,93000.0,0.0
CT0008801,DH001605,SP9005,4,1015000.0,0.0
CT0008802,DH006675,SP0201,284,967000.0,0.0
CT0008803,DH006675,SP0052,296,37000.0,0.0
CT0008804,DH006675,SP0195,304,282000.0,0.05
CT0008805,DH007771,,281,333000.0,0.0
CT0008806,DH007771,SP0157,227,340000.0,0.0
CT0008807,DH007771,,297,27000.0,0.0
CT0008808,DH007771,SP0200,310,523000.0,0.15
CT0008809,DH007771,SP0172,254,803000.0,0.1
CT0008810,DH007771,SP0098,324,138000.0,0.0
CT0008811,DH007771,SP0151,210,242000.0,0.0
CT0008812,DH011377,SP0028,9,171800.0,0.1
CT0008813,DH001306,SP0089,4,207000.0,0.0
CT0008814,DH001306,SP9009,5,50000.0,0.15
CT0008815,DH007128,SP0045,305,232000.0,0.05
CT0008816,DH007128,SP0057,346,306000.0,0.1
CT0008817,DH007128,SP0133,259,255000.0,0.15
CT0008818,DH008070,SP0012,378,210000.0,0.0
CT0008819,DH008070,SP0052,237,37000.0,0.05
CT0008820,DH008070,SP0138,150,31000.0,0.0
CT0008821,DH008070,SP0030,144,1105000.0,0.0
CT0008822,DH008647,SP0102,355,885000.0,0.0
CT0008823,DH008647,SP0179,110,278000.0,0.0
CT0008824,DH008647,SP0048,249,54000.0,0.1
CT0008825,DH008647,SP0189,312,164000.0,0.15
CT0008826,DH008647,SP0109,169,1045000.0,0.0
CT0008827,DH008647,SP0037,204,202000.0,0.05
CT0008828,DH008647,SP0145,126,189000.0,0.0
CT0008829,DH008853,SP0186,12,1126000.0,0.1
CT0008830,DH005755,SP0052,8,39800.0,0.0
CT0008831,DH005755,SP0047,11,179600.0,0.0
CT0008832,DH011074,SP0111,7,52000.0,0.05
CT0008833,DH005314,SP0071,1,900000.0,0.0
CT0008834,DH005314,SP0149,12,1399000.0,0.05
CT0008835,DH005157,SP0005,5,274000.0,0.05
CT0008836,DH005134,,8,26000.0,0.0
CT0008837,DH005134,SP0062,8,326000.0,0.15
CT0008838,DH009468,SP0130,12,308000.0,0.0
CT0008839,DH011694,SP0184,351,293000.0,0.0
CT0008840,DH011694,SP0103,242,255000.0,0.0
CT0008841,DH011694,SP0144,228,231000.0,0.0
CT0008842,DH001800,SP0014,106,811400.0,0.1
CT0008843,DH001800,SP0072,151,585400.0,0.0
CT0008844,DH001800,,197,1582200.0,0.15
CT0008845,DH001800,SP0177,281,263700.0,0.0
CT0008846,DH001800,SP0108,352,190300.0,0.1
CT0008847,DH001800,SP0125,390,271400.0,0.0
CT0008848,DH002303,,14,297000.0,0.1
CT0008849,DH002303,SP0116,1,714000.0,0.0
CT0008850,DH011249,SP0194,306,167300.0,0.15
CT0008851,DH011249,SP0115,185,27900.0,0.1
CT0008852,DH011249,SP0038,230,1093200.0,0.15
CT0008853,DH011249,SP0001,93,35800.0,0.0
CT0008854,DH011249,SP0043,238,218100.0,0.05
CT0008855,DH008136,SP0204,11,1413000.0,0.05
CT0008856,DH008136,SP0125,11,289000.0,0.0
CT0008857,DH008136,SP0001,2,38000.0,0.0
CT0008858,DH000590,SP0044,86,1422000.0,0.0
CT0008859,DH000590,SP0191,286,47000.0,0.0
CT0008860,DH000590,SP0077,281,195000.0,0.1
CT0008861,DH000590,SP0176,142,172000.0,0.0
CT0008862,DH000590,SP0045,92,232000.0,0.0
CT0008863,DH000590,SP0069,377,82000.0,0.0
CT0008864,DH000590,SP0073,207,135000.0,0.05
CT0008865,DH000590,SP0064,271,216000.0,0.0
CT0008866,DH010332,SP0010,12,1008000.0,0.0
CT0008867,DH002936,SP0088,7,98700.0,0.0
CT0008868,DH002936,SP0211,10,241100.0,0.0
CT0008869,DH002936,SP0199,14,135700.0,0.1
CT0008870,DH005916,SP0028,11,200000.0,0.0
CT0008871,DH004752,SP0016,91,978000.0,0.0
CT0008872,DH004752,SP0061,325,251000.0,0.1
CT0008873,DH004752,SP9010,338,165000.0,0.1
CT0008874,DH004752,SP0072,257,719000.0,0.0
CT0008875,DH004752,SP0049,344,237000.0,0.0
CT0008876,DH004752,SP0008,346,1434000.0,0.0
CT0008877,DH004752,SP0117,241,42000.0,0.0
CT0008878,DH006955,SP0007,266,262000.0,0.0
CT0008879,DH006955,SP0203,270,1183000.0,0.1
CT0008880,DH006955,SP0141,255,103000.0,0.15
CT0008881,DH006955,SP0034,189,279000.0,0.1
CT0008882,DH006955,SP0127,144,37000.0,0.1
CT0008883,DH003214,SP0153,224,212000.0,0.1
CT0008884,DH003214,SP0127,224,37000.0,0.15
CT0008885,DH003214,SP0072,302,719000.0,0.0
CT0008886,DH003622,SP0168,98,27000.0,0.0
CT0008887,DH003622,SP0113,315,216000.0,0.1
CT0008888,DH003622,SP0067,152,15000.0,0.0
CT0008889,DH003622,SP0140,115,295000.0,0.0
CT0008890,DH003622,SP0040,70,258000.0,0.0
CT0008891,DH003622,SP0044,185,1422000.0,0.0
CT0008892,DH006749,SP0024,218,104000.0,0.0
CT0008893,DH006749,SP0179,106,278000.0,0.05
CT0008894,DH006749,SP0216,192,101000.0,0.1
CT0008895,DH006749,SP0189,236,164000.0,0.0
CT0008896,DH006749,SP0180,341,1328000.0,0.0
CT0008897,DH006749,SP0201,356,967000.0,0.05
CT0008898,DH010888,SP0204,4,1413000.0,0.0
CT0008899,DH010888,SP0022,7,1403000.0,0.0
CT0008900,DH002904,,8,1029000.0,0.15
CT0008901,DH009069,SP0208,343,145000.0,0.15
CT0008902,DH009069,SP0026,149,118000.0,0.15
CT0008903,DH009069,SP0041,320,1377000.0,0.0
CT0008904,DH003235,SP0027,9,71100.0,0.0
CT0008905,DH003235,SP0026,10,106400.0,0.05
CT0008906,DH003235,SP0177,4,248000.0,0.15
CT0008907,DH009495,SP0006,182,1260600.0,0.1
CT0008908,DH009495,SP0150,292,236300.0,0.15
CT0008909,DH009495,SP0209,114,162700.0,0.05
CT0008910,DH011636,SP0047,122,194000.0,0.0
CT0008911,DH011636,SP0024,184,104000.0,0.0
CT0008912,DH011636,SP0097,90,112000.0,0.0
CT0008913,DH011636,SP0144,84,231000.0,0.0
CT0008914,DH011636,SP0070,356,200000.0,0.1
CT0008915,DH011636,SP0121,104,228000.0,0.0
CT0008916,DH011636,SP0188,155,191000.0,0.0
CT0008917,DH011636,SP0005,120,274000.0,0.1
CT0008918,DH005162,SP0192,305,579000.0,0.05
CT0008919,DH005162,SP0077,363,195000.0,0.1
CT0008920,DH005162,SP0002,229,33000.0,0.05
CT0008921,DH005162,SP0171,123,26000.0,0.0
CT0008922,DH005162,SP0089,366,207000.0,0.1
CT0008923,DH000186,,8,47000.0,0.0
CT0008924,DH000186,SP0032,7,243000.0,0.05
CT0008925,DH001787,SP0206,67,40100.0,0.1
CT0008926,DH001787,SP0126,364,139700.0,0.1
CT0008927,DH001787,SP0173,244,137900.0,0.05
CT0008928,DH001787,SP0054,80,199700.0,0.05
CT0008929,DH008707,SP0080,108,156000.0,0.0
CT0008930,DH008707,SP0069,139,70400.0,0.05
CT0008931,DH008707,SP0100,152,231000.0,0.0
CT0008932,DH005942,SP0091,10,59000.0,0.1
CT0008933,DH005942,SP0122,2,150000.0,0.15
CT0008934,DH005942,SP0019,9,197000.0,0.15
CT0008935,DH000450,SP0052,68,39700.0,0.0
CT0008936,DH000450,SP0073,117,107600.0,0.0
CT0008937,DH000450,SP0179,94,297200.0,0.0
CT0008938,DH000450,,67,1302500.0,0.05
CT0008939,DH000450,SP0219,293,71200.0,0.1
CT0008940,DH000450,SP0161,309,118400.0,0.0
CT0008941,DH010178,SP0112,161,177600.0,0.1
CT0008942,DH010178,SP0170,112,265200.0,0.1
CT0008943,DH010178,SP0098,65,104600.0,0.05
CT0008944,DH010178,SP0211,80,209600.0,0.0
CT0008945,DH011300,SP0208,107,125200.0,0.15
CT0008946,DH011300,SP0057,143,281500.0,0.15
CT0008947,DH011300,SP0218,146,148900.0,0.0
CT0008948,DH011300,SP0145,170,164600.0,0.05
CT0008949,DH011300,SP0075,80,157700.0,0.05
CT0008950,DH011300,SP0045,275,179900.0,0.0
CT0008951,DH011300,SP0119,275,241800.0,0.15
CT0008952,DH000089,SP0035,4,810500.0,0.0
CT0008953,DH000089,SP0033,11,104100.0,0.0
CT0008954,DH000089,SP0213,7,24800.0,0.15
CT0008955,DH003181,SP0013,222,136000.0,0.15
CT0008956,DH003181,SP0204,235,1413000.0,0.0
CT0008957,DH003181,SP0008,312,1434000.0,0.0
CT0008958,DH003181,SP0072,140,719000.0,0.0
CT0008959,DH003181,SP0218,148,193000.0,0.0
CT0008960,DH009777,SP0072,7,719000.0,0.05
CT0008961,DH009777,SP0202,6,478000.0,0.05
CT0008962,DH009777,,7,50000.0,0.0
CT0008963,DH002025,SP0124,12,96000.0,0.0
CT0008964,DH002025,SP0021,2,46000.0,0.0
CT0008965,DH002025,SP0209,1,146000.0,0.05
CT0008966,DH001810,SP0062,8,326000.0,0.05
CT0008967,DH011925,SP0163,260,207000.0,0.0
CT0008968,DH011925,SP9014,242,1399000.0,0.05
CT0008969,DH011925,SP0157,176,340000.0,0.05
CT0008970,DH011925,SP0183,209,170000.0,0.0
CT0008971,DH011925,SP0123,196,292000.0,0.0
CT0008972,DH010844,SP0169,10,922000.0,0.05
CT0008973,DH010844,SP0109,8,1045000.0,0.05
CT0008974,DH005308,SP0148,229,47000.0,0.1
CT0008975,DH005308,SP0183,95,170000.0,0.05
CT0008976,DH005308,SP0024,355,104000.0,0.1
CT0008977,DH005308,SP0057,331,306000.0,0.15
CT0008978,DH005308,SP0078,368,213000.0,0.0
CT0008979,DH001054,SP0055,4,297000.0,0.0
CT0008980,DH009861,SP0042,3,226000.0,0.05
CT0008981,DH001563,SP0066,5,572000.0,0.15
CT0008982,DH001563,SP0191,3,47000.0,0.15
CT0008983,DH001563,SP0091,5,59000.0,0.15
CT0008984,DH006398,SP0177,4,289000.0,0.0
CT0008985,DH006398,SP0163,6,207000.0,0.05
CT0008986,DH000103,SP0004,1,224000.0,0.0
CT0008987,DH009987,SP0132,12,493000.0,0.0
CT0008988,DH009987,SP0050,1,786000.0,0.0
CT0008989,DH009987,,9,40000.0,0.0
CT0008990,DH009220,SP0144,8,231000.0,0.0
CT0008991,DH009220,SP0050,6,786000.0,0.05
CT0008992,DH009220,SP0109,12,1045000.0,0.0
CT0008993,DH001823,SP0153,2,212000.0,0.1
CT0008994,DH001823,SP0171,4,26000.0,0.05
CT0008995,DH007578,SP0091,58,67700.0,0.0
CT0008996,DH007578,SP0053,178,228000.0,0.05
CT0008997,DH007578,SP0159,224,776200.0,0.0
CT0008998,DH007578,SP0118,306,214600.0,0.0
CT0008999,DH007578,SP0148,73,44000.0,0.0
CT0009000,DH007578,SP0193,235,121800.0,0.0
CT0009001,DH010064,SP0092,288,41000.0,0.0
CT0009002,DH010064,SP0010,158,1008000.0,0.0
CT0009003,DH010064,SP0152,379,231000.0,0.0
CT0009004,DH010064,SP0085,105,135000.0,0.0
CT0009005,DH010064,SP0016,340,978000.0,0.05
CT0009006,DH010064,SP0169,360,922000.0,0.0
CT0009007,DH008770,SP0033,14,128000.0,0.0
CT0009008,DH011346,SP0187,4,203800.0,0.15
CT0009009,DH000514,SP0171,9,28000.0,0.0
CT0009010,DH002512,SP0083,2,50800.0,0.0
CT0009011,DH002512,SP0001,2,35000.0,0.0
CT0009012,DH002512,SP0049,8,186700.0,0.1
CT0009013,DH001301,SP0148,196,47000.0,0.0
CT0009014,DH001301,SP0158,354,185000.0,0.0
CT0009015,DH001301,SP0217,84,291000.0,0.1
CT0009016,DH001301,SP0190,227,39000.0,0.05
CT0009017,DH001301,SP0095,105,117000.0,0.05
CT0009018,DH008422,SP0087,5,191000.0,0.05
CT0009019,DH008422,SP9003,1,54800.0,0.0
CT0009020,DH011900,SP0023,104,215000.0,0.1
CT0009021,DH011900,SP0028,76,200000.0,0.15
CT0009022,DH011900,SP9005,136,396000.0,0.0
CT0009023,DH011900,SP0121,284,228000.0,0.0
CT0009024,DH011900,SP0197,121,943000.0,0.1
CT0009025,DH011900,SP0001,101,38000.0,0.05
CT0009026,DH011900,SP0053,92,288000.0,0.0
CT0009027,DH007292,,230,306000.0,0.1
CT0009028,DH007292,SP0179,111,278000.0,0.0
CT0009029,DH007292,SP0182,293,150000.0,0.05
CT0009030,DH007292,SP0160,170,91000.0,0.0
CT0009031,DH007292,SP0032,174,243000.0,0.1
CT0009032,DH010562,SP0017,279,50000.0,0.05
CT0009033,DH010562,SP0026,239,118000.0,0.05
CT0009034,DH010562,SP0076,366,112000.0,0.0
CT0009035,DH004688,SP0030,10,1105000.0,0.0
CT0009036,DH004688,SP0031,8,52000.0,0.0
CT0009037,DH011315,SP0032,355,259800.0,0.0
CT0009038,DH011315,SP0096,139,59400.0,0.0
CT0009039,DH011315,SP0054,366,137300.0,0.0
CT0009040,DH011315,SP0140,178,326200.0,0.0
CT0009041,DH008624,SP0150,104,228000.0,0.0
CT0009042,DH008624,SP0154,80,31000.0,0.0
CT0009043,DH008624,SP0102,306,885000.0,0.0
CT0009044,DH008624,SP0119,372,285000.0,0.15
CT0009045,DH008624,SP0058,279,41000.0,0.0
CT0009046,DH008624,SP0023,161,215000.0,0.0
CT0009047,DH008624,SP0051,155,333000.0,0.15
CT0009048,DH008624,SP0171,220,26000.0,0.05
CT0009049,DH008459,SP0179,4,278000.0,0.1
CT0009050,DH008459,SP0100,2,289000.0,0.0
CT0009051,DH007838,SP0207,294,26000.0,0.0
CT0009052,DH007838,SP0097,72,112000.0,0.05
CT0009053,DH007838,SP0046,50,34000.0,0.0
CT0009054,DH007838,SP0021,264,46000.0,0.0
CT0009055,DH007838,SP0086,212,229000.0,0.15
CT0009056,DH007838,SP0059,94,782000.0,0.15
CT0009057,DH007838,SP0152,112,231000.0,0.0
CT0009058,DH007838,SP0071,164,900000.0,0.15
CT0009059,DH010703,SP0071,6,900000.0,0.0
CT0009060,DH010703,SP0153,10,212000.0,0.0
CT0009061,DH010703,SP0143,5,174000.0,0.1
CT0009062,DH009109,SP0109,150,1045000.0,0.1
CT0009063,DH009109,SP0016,92,978000.0,0.0
CT0009064,DH009109,SP0008,320,1434000.0,0.15
CT0009065,DH009109,SP0123,122,292000.0,0.0
CT0009066,DH003947,SP0055,5,297000.0,0.05
CT0009067,DH003851,SP0071,7,900000.0,0.0
CT0009068,DH003851,SP0017,9,50000.0,0.0
CT0009069,DH003851,SP0114,1,109000.0,0.05
CT0009070,DH000643,SP0090,11,855000.0,0.0
CT0009071,DH000643,SP0099,8,254000.0,0.0
CT0009072,DH000643,SP0095,7,117000.0,0.1
CT0009073,DH000433,SP0062,97,347900.0,0.0
CT0009074,DH000433,SP0130,135,255200.0,0.15
CT0009075,DH000433,SP0110,137,39600.0,0.1
CT0009076,DH000433,SP0143,218,153300.0,0.1
CT0009077,DH000433,SP0191,50,51400.0,0.0
CT0009078,DH000433,SP9004,51,59800.0,0.05
CT0009079,DH000433,SP0208,347,133400.0,0.0
CT0009080,DH000433,SP0097,81,92000.0,0.15
CT0009081,DH001639,SP0153,4,212000.0,0.1
CT0009082,DH001639,SP0016,6,978000.0,0.15
CT0009083,DH001639,SP0124,12,96000.0,0.0
CT0009084,DH000543,SP0204,119,1475000.0,0.0
CT0009085,DH000543,SP0064,354,189700.0,0.0
CT0009086,DH000543,SP0100,304,244900.0,0.1
CT0009087,DH000543,SP0110,239,39400.0,0.05
CT0009088,DH000543,SP0104,289,1361700.0,0.0
CT0009089,DH000543,SP0114,282,100100.0,0.1
CT0009090,DH011983,,11,165400.0,0.1
CT0009091,DH011983,SP0053,11,264100.0,0.0
CT0009092,DH006655,SP0126,3,96900.0,0.15
CT0009093,DH006655,SP0006,2,982700.0,0.0
